--------------------------------------------------------------------------------
Process Logger Thu Apr 25 23:43:26 2019
--------------------------------------------------------------------------------
{'pid': 8173, 'username': 'dell', 'vms': 1170.1328125, 'name': 'evince'}
{'pid': 8254, 'username': 'root', 'vms': 0.0, 'name': 'kworker/6:2'}
{'pid': 8302, 'username': 'dell', 'vms': 832.29296875, 'name': 'gedit'}
{'pid': 8391, 'username': 'dell', 'vms': 643.69140625, 'name': 'gnome-terminal-server'}
{'pid': 8398, 'username': 'dell', 'vms': 22.40625, 'name': 'bash'}
{'pid': 8507, 'username': 'root', 'vms': 0.0, 'name': 'kworker/2:2'}
{'pid': 8571, 'username': 'root', 'vms': 0.0, 'name': 'kworker/6:3'}
{'pid': 8616, 'username': 'root', 'vms': 0.0, 'name': 'kworker/3:1'}
{'pid': 8629, 'username': 'root', 'vms': 0.0, 'name': 'kworker/2:1'}
{'pid': 8638, 'username': 'root', 'vms': 0.0, 'name': 'kworker/7:1'}
{'pid': 8643, 'username': 'root', 'vms': 0.0, 'name': 'kworker/4:0'}
{'pid': 8644, 'username': 'root', 'vms': 0.0, 'name': 'kworker/1:2'}
{'pid': 8645, 'username': 'root', 'vms': 0.0, 'name': 'kworker/5:2'}
{'pid': 8646, 'username': 'root', 'vms': 0.0, 'name': 'kworker/0:0'}
{'pid': 8660, 'username': 'root', 'vms': 0.0, 'name': 'kworker/u16:3'}
{'pid': 8688, 'username': 'root', 'vms': 0.0, 'name': 'kworker/6:0'}
{'pid': 8759, 'username': 'root', 'vms': 0.0, 'name': 'kworker/3:0'}
{'pid': 8788, 'username': 'root', 'vms': 0.0, 'name': 'kworker/2:0'}
{'pid': 8839, 'username': 'root', 'vms': 0.0, 'name': 'kworker/4:2'}
{'pid': 8853, 'username': 'root', 'vms': 0.0, 'name': 'kworker/7:2'}
{'pid': 8866, 'username': 'root', 'vms': 0.0, 'name': 'kworker/5:1'}
{'pid': 8872, 'username': 'root', 'vms': 0.0, 'name': 'kworker/1:1'}
{'pid': 8879, 'username': 'root', 'vms': 0.0, 'name': 'kworker/0:1'}
{'pid': 8900, 'username': 'dell', 'vms': 65.28515625, 'name': 'python3'}
